stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
107099;Ridgeview at Blueridge (SB);SB_Ridgeview_FS_Blueridge;49.066837;-122.348836;VLY;Fraser Valley Region;Abbotsford
107100;Ridgeview at Viewmount (WB);WB_Ridgeview_FS_Viewmount;49.065298;-122.351578;VLY;Fraser Valley Region;Abbotsford
107101;Ponderosa at Ridgeview (SB);SB_Ponderosa_FS_Ridgeview;49.064994;-122.354485;VLY;Fraser Valley Region;Abbotsford
107102;Ponderosa at Spur (SB);SB_Ponderosa_FS_Spur;49.062732;-122.354512;VLY;Fraser Valley Region;Abbotsford
107107;Mt Lehman at Cardinal (NB);NB_Mt Lehman_FS_Cardinal;49.061789;-122.381114;VLY;Fraser Valley Region;Abbotsford
107108;Sandpiper at Mt Lehman (EB);EB_Sandpiper_FS_Mt Lehman;49.06267;-122.380038;VLY;Fraser Valley Region;Abbotsford
107109;Goldfinch at Robin (NB);NB_Goldfinch_FS_Robin;49.063705;-122.376544;VLY;Fraser Valley Region;Abbotsford
107110;Blueridge at Goldfinch (EB);EB_Blueridge_FS_Goldfinch;49.065815;-122.375509;VLY;Fraser Valley Region;Abbotsford
107111;Blueridge at Blue Jay (EB);EB_Blueridge_NS_Blue Jay;49.065788;-122.371387;VLY;Fraser Valley Region;Abbotsford
107112;Blue Jay at Sandpiper (SB);SB_Blue Jay_NS_Sandpiper;49.06097;-122.370612;VLY;Fraser Valley Region;Abbotsford
107113;Blue Jay at Osprey W (SB);SB_Blue Jay_NS_Osprey W;49.058313;-122.37057;VLY;Fraser Valley Region;Abbotsford
107115;Maclure at 31020 Blk (EB);EB_Maclure_AT_31020 Blk;49.054619;-122.364673;VLY;Fraser Valley Region;Abbotsford
107116;Maclure at Townline (EB);EB_Maclure_FS_Townline;49.054013;-122.359326;VLY;Fraser Valley Region;Abbotsford
107117;Old Yale at Mitchell (EB);EB_Old Yale_FS_Mitchell;49.05265;-122.353531;VLY;Fraser Valley Region;Abbotsford
107118;Old Yale at Sunnyside (EB);EB_Old Yale_FS_Sunnyside;49.052685;-122.347297;VLY;Fraser Valley Region;Abbotsford
107119;Old Yale at Victoria (EB);EB_Old Yale_NS_Victoria;49.051889;-122.342921;VLY;Fraser Valley Region;Abbotsford
107120;Old Yale at Clearbrook (EB);EB_Old Yale_NS_Clearbrook;49.051823;-122.338465;VLY;Fraser Valley Region;Abbotsford
107121;Clearbrook at Sunrise (SB);SB_Clearbrook_NS_Sunrise;49.047562;-122.337373;VLY;Fraser Valley Region;Abbotsford
107122;Bourquin W at Ventura (NB);NB_Bourquin W_NS_Ventura;49.051969;-122.310202;VLY;Fraser Valley Region;Abbotsford
107123;Bourquin W at Amicus (NB);NB_Bourquin W_NS_Amicus;49.053386;-122.310178;VLY;Fraser Valley Region;Abbotsford
107124;George Ferguson at Trafalgar (EB);EB_George Ferguson_FS_Trafalgar;49.054094;-122.308513;VLY;Fraser Valley Region;Abbotsford
107125;George Ferguson at Ware (EB);EB_George Ferguson_NS_Ware;49.053258;-122.305551;VLY;Fraser Valley Region;Abbotsford
107126;George Ferguson at Fuller (EB);EB_George Ferguson_NS_Fuller;49.052471;-122.302779;VLY;Fraser Valley Region;Abbotsford
107127;George Ferguson at Babich (EB);EB_George Ferguson_FS_Babich;49.051523;-122.299137;VLY;Fraser Valley Region;Abbotsford
107128;George Ferguson at Mountview (EB);EB_George Ferguson_NS_Mountview;49.0506;-122.29588;VLY;Fraser Valley Region;Abbotsford
120026;McKee 36060 block (EB);EB_36060_block_McKee;49.071083;-122.225519;VLY;Fraser Valley Region;Abbotsford
107001;Townline at Upper MacLure (NB);NB_Townline_NS_Upper MacLure;49.060669;-122.359917;VLY;Fraser Valley Region;Abbotsford
107005;Blueridge at Ridgeview (EB);EB_Blueridge_FS_Ridgeview;49.067382;-122.34799;VLY;Fraser Valley Region;Abbotsford
107006;Blueridge at Clearbrook (EB);EB_Blueridge_NS_Clearbrook;49.064506;-122.338829;VLY;Fraser Valley Region;Abbotsford
107007;Clearbrook at Austin (SB);SB_Clearbrook_NS_Austin;49.061947;-122.338098;VLY;Fraser Valley Region;Abbotsford
107008;Clearbrook at MacLure (SB);SB_Clearbrook_FS_MacLure;49.05961;-122.338083;VLY;Fraser Valley Region;Abbotsford
107009;Clearbrook at Coral (SB);SB_Clearbrook_NS_Coral;49.057411;-122.338082;VLY;Fraser Valley Region;Abbotsford
107010;Clearbrook at George Ferguson (SB);SB_Clearbrook_NS_George Ferguson;49.05569;-122.338037;VLY;Fraser Valley Region;Abbotsford
107011;Clearbrook at Mt Waddington (SB);SB_Clearbrook_NS_Mt Waddington;49.053502;-122.338083;VLY;Fraser Valley Region;Abbotsford
107012;South Fraser at Clearbrook (EB);EB_South Fraser_FS_Clearbrook;49.049691;-122.33695;VLY;Fraser Valley Region;Abbotsford
107013;South Fraser at Minter (EB);EB_South Fraser_FS_Minter;49.051229;-122.333048;VLY;Fraser Valley Region;Abbotsford
107014;South Fraser at Adelaide (EB);EB_South Fraser_NS_Adelaide;49.051549;-122.328947;VLY;Fraser Valley Region;Abbotsford
107015;South Fraser at Trethewey (EB);EB_South Fraser_FS_Trethewey;49.05129;-122.324805;VLY;Fraser Valley Region;Abbotsford
107016;South Fraser at Allwood (EB);EB_South Fraser_NS_Allwood;49.051128;-122.320708;VLY;Fraser Valley Region;Abbotsford
107017;South Fraser at Emerson (EB);EB_South Fraser_FS_Emerson;49.050981;-122.317437;VLY;Fraser Valley Region;Abbotsford
107018;South Fraser at Gladwin (EB);EB_South Fraser_FS_Gladwin;49.050868;-122.313392;VLY;Fraser Valley Region;Abbotsford
107019;South Fraser at Bourquin W (EB);EB_South Fraser_NS_Bourquin W;49.050807;-122.311449;VLY;Fraser Valley Region;Abbotsford
107877;Columbia at 5th Ave (SB);SB_Columbia_NS_5th Ave;49.138232;-122.297528;VLY;Fraser Valley Region;Mission
107880;Hurd at Diamond (NB);NB_Hurd_FS_Diamond;49.137454;-122.332605;VLY;Fraser Valley Region;Mission
