stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
160417;Hwy 3A at Grandview Dr (WB);WB_Hwy 3A_AT_Grandview Dr;49.618097;-117.016293;WKT;West Kootenay Transit System;Central Kootenay E
160419;Hwy 3A 6100 Block (WB);WB_Hwy 3A_6100 Block;49.614492;-117.049106;WKT;West Kootenay Transit System;Central Kootenay E
160420;Hwy 3A at 4800 Block (WB);WB_Hwy 3A_AT_4800 Block;49.606499;-117.12136;WKT;West Kootenay Transit System;Central Kootenay E
160422;Hwy 3A at Keiran Rd (WB);WB_Hwy 3A_AT_Keiran Rd;49.590682;-117.197405;WKT;West Kootenay Transit System;Central Kootenay F
160424;Lower 6 mile at 2700 Block (WB);WB_Lower 6_Mile_AT_2700 Block;49.572339;-117.226177;WKT;West Kootenay Transit System;Central Kootenay F
160425;Hwy 3A at Greenwood Rd (WB);WB_Hwy 3A_AT_Greenwood Rd;49.571359;-117.232545;WKT;West Kootenay Transit System;Central Kootenay F
160426;Hwy 3A at 6 Mile Rd (WB);WB_Hwy 3A_NS_6 Mile Rd;49.570515;-117.236279;WKT;West Kootenay Transit System;Central Kootenay F
160427;Hwy 3A at 2400 Block (WB);WB_Hwy 3A_AT_2400 Block;49.567548;-117.239206;WKT;West Kootenay Transit System;Central Kootenay F
160430;Hwy 3A 1600 Block (WB);WB_Hwy_3A_1600 Block;49.544907;-117.259044;WKT;West Kootenay Transit System;Central Kootenay F
160432;Hwy 3A 1000 Block (WB);WB_Hwy 3A_1000 Block;49.524686;-117.273734;WKT;West Kootenay Transit System;Central Kootenay F
160433;Hwy 3A 900 Block (WB);WB_Hwy 3A_900 Block;49.520928;-117.280253;WKT;West Kootenay Transit System;Central Kootenay F
160434;Hwy 3A at Johnstone (WB);WB_Hwy 3A_AT_Johnstone;49.515167;-117.284538;WKT;West Kootenay Transit System;Nelson
160435;Hwy 3A at 700 Block (EB);EB_hwy 3A_AT_700 Block;49.516865;-117.282463;WKT;West Kootenay Transit System;Nelson
160436;Hwy 3A at 1000 Block (EB);EB_Hwy 3A_AT_1000 Block;49.524663;-117.273384;WKT;West Kootenay Transit System;Central Kootenay F
160437;Hwy 3A at 1700 Block (EB);EB_Hwy 3A_AT_1700 Block;49.545357;-117.258974;WKT;West Kootenay Transit System;Central Kootenay F
160612;4th St at A Ave (SB);SB_4th St_AT_A Ave;49.910823;-116.904481;WKT;West Kootenay Transit System;Kaslo
