stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
106131;Beverly at Duncan St (EB);EB_Beverly ST_AT_Duncan St;48.784747;-123.708489;COW;Cowichan Valley Regional Transit System;North Cowichan
108041;Telegraph at Kilmalu (SB);SB_Telegraph_NS_Kilmalu;48.665124;-123.552133;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
108064;Kingsview Rd at Maple Bay Rd (WB);WB_Kingsview Rd_AT_Maple Bay Rd;48.799076;-123.644923;COW;Cowichan Valley Regional Transit System;North Cowichan
106275;Chemainus at Halalt (SB);SB_Chemainus_AT_Halalt;48.876074;-123.695444;COW;Cowichan Valley Regional Transit System;Halalt 2
106273;Mt. Sticker Rd at TransCanada Hwy (WB);WB_Mt Sticker Rd_AT_TransCanada Hwy;48.874717;-123.705314;COW;Cowichan Valley Regional Transit System;North Cowichan
106264;Chemainus Rd at Howe Rd (NB);NB_Chemainus Rd_AT_Howe Rd;48.907527;-123.705461;COW;Cowichan Valley Regional Transit System;North Cowichan
108066;Croft St at Alder St (NB);NB_Croft St_AT_Alder St;48.924195;-123.717069;COW;Cowichan Valley Regional Transit System;North Cowichan
108068;Chemainus Rd at 9930 Block (NB);NB_Chemainus Rd_AT_9930 Blk;48.927907;-123.728698;COW;Cowichan Valley Regional Transit System;North Cowichan
106272;Mt Sicker at TransCanada Hwy (EB);EB_Mt Sicker_AT_TransCanada Hwy;48.874665;-123.705913;COW;Cowichan Valley Regional Transit System;North Cowichan
106274;Chemainus at Halalt Rd (EB);EB_Chemainus_AT_Halalt Rd;48.875694;-123.695734;COW;Cowichan Valley Regional Transit System;Halalt 2
106199;Crofton at Chemainus Rd (EB);EB_Crofton_AT_Chemainus Rd;48.882053;-123.680751;COW;Cowichan Valley Regional Transit System;North Cowichan
106268;Robert St at King St (EB);EB_Robert St_AT_King St;48.863802;-123.643989;COW;Cowichan Valley Regional Transit System;North Cowichan
106170;Wilson at Kinch (NB);NB_Wilson_AT_Kinch;48.782943;-123.723782;COW;Cowichan Valley Regional Transit System;North Cowichan
108063;Gibbins at Van Koy Rd (WB);WB_Gibbins_AT_Van Koy Rd;48.777796;-123.752291;COW;Cowichan Valley Regional Transit System;North Cowichan
108067;Gibbins at Vimy (WB);WB_Gibbins_AT_Vimy;48.775037;-123.768183;COW;Cowichan Valley Regional Transit System;North Cowichan
108069;Gibbins at 3960 Block (WB);WB_Gibbins_AT_3760 Block;48.77402;-123.77176;COW;Cowichan Valley Regional Transit System;North Cowichan
106133;Menzies at Gibbins (SB);SB_menzies_AT_Gibbins;48.77369;-123.78074;COW;Cowichan Valley Regional Transit System;North Cowichan
106144;Gibbins at 3800 Block (EB);EB_Gibbins_AT_3800 Block;48.776645;-123.763258;COW;Cowichan Valley Regional Transit System;North Cowichan
106261;Cliffs Rd at Wilson (EB);EB_Cliffs Rd_AT_Wilson;48.779781;-123.72368;COW;Cowichan Valley Regional Transit System;North Cowichan
108044;Telegraph at Sheppard (SB);SB_Telegraph_FS_Sheppard;48.67126;-123.553422;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
108045;Youbou Rd 10700 Block (NB);NB_Youbou Rd_AT_10700 Block;48.877353;-124.218623;COW;Cowichan Valley Regional Transit System;Cowichan Valley I
108046;Telegraph AT Pemberton (SB);SB_Telegraph_FS_Pemberton;48.675395;-123.551752;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
106234;Bench Rd at Staghorn (WB);WB_Bench Rd_AT_Staghorn;48.742575;-123.660487;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
106232;Bench Rd at Wilson (WB);WB_Bench Rd_NS_Wilson;48.737344;-123.664845;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
106230;Bench Rd at 4570 Block (WB);WB_Bench Rd_AT_4570_Block;48.732865;-123.666918;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
106228;Koksilah at Lakeside (EB);EB_Koksilah_NS_Lakeside;48.729849;-123.661297;COW;Cowichan Valley Regional Transit System;Cowichan Valley E
108317;Shawnigan Lake Rd at Cameron Taggart (SB);SB_Shawnigan Lake Rd_AT_Cameron Taggart;48.675891;-123.606337;COW;Cowichan Valley Regional Transit System;Cowichan Valley B
108054;McKean Rd at Poplar (EB);EB_McKean Rd_AT_Poplar;48.653092;-123.647577;COW;Cowichan Valley Regional Transit System;Cowichan Valley B
108055;Worthington Rd at Renfrew (SB);SB_Worthington Rd_AT_Renfrew;48.651369;-123.645104;COW;Cowichan Valley Regional Transit System;Cowichan Valley B
108060;Huckleberry at Noowick (NB);NB_Huckleberry_AT_Noowick;48.637832;-123.546165;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
108090;Deloume Rd at Barry (NB);NB_Deloume_AT_Barry;48.652287;-123.560621;COW;Cowichan Valley Regional Transit System;Cowichan Valley A
