stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
110138;Bruce at Weber (NB);NB_Bruce_FS_Weber;49.143001;-123.949612;NAN;Regional District of Nanaimo Transit System;Nanaimo
110139;Park at Murray (NB);NB_Park_NS_Murray;49.144358;-123.943815;NAN;Regional District of Nanaimo Transit System;Nanaimo
110140;Park at 7th St (NB);NB_Park_NS_7th St;49.147277;-123.943809;NAN;Regional District of Nanaimo Transit System;Nanaimo
110141;Park at Honey (NB);NB_Park_NS_Honey;49.149415;-123.943795;NAN;Regional District of Nanaimo Transit System;Nanaimo
110142;Park at 6th St (NB);NB_Park_FS_6th St;49.151375;-123.943747;NAN;Regional District of Nanaimo Transit System;Nanaimo
110143;Park at 5th St (NB);NB_Park_FS_5th St;49.155552;-123.943694;NAN;Regional District of Nanaimo Transit System;Nanaimo
110144;Pine at Hamilton (NB);NB_Pine_FS_Hamilton;49.1585;-123.945236;NAN;Regional District of Nanaimo Transit System;Nanaimo
110145;Irwin at Esplanade (SB);SB_Irwin_FS_Esplanade;49.161694;-123.931648;NAN;Regional District of Nanaimo Transit System;Nanaimo
110146;Irwin at Milton (SB);SB_Irwin_NS_Milton;49.15817;-123.931429;NAN;Regional District of Nanaimo Transit System;Nanaimo
110147;Milton at Haliburton (WB);WB_Milton_FS_Haliburton;49.158005;-123.933207;NAN;Regional District of Nanaimo Transit System;Nanaimo
110148;Victoria at Kennedy (SB);SB_Victoria_AT_Kennedy;49.157309;-123.93567;NAN;Regional District of Nanaimo Transit System;Nanaimo
110149;Victoria at Pine (SB);SB_Victoria_FS_Pine;49.154913;-123.936102;NAN;Regional District of Nanaimo Transit System;Nanaimo
110150;Victoria at Needham (SB);SB_Victoria_NS_Needham;49.153587;-123.93635;NAN;Regional District of Nanaimo Transit System;Nanaimo
110255;Jingle Pot at Holland (WB);WB_Jingle Pot_FS_Holland;49.172151;-123.999969;NAN;Regional District of Nanaimo Transit System;Nanaimo
110256;Jingle Pot at East Wellington (WB);WB_Jingle Pot_NS_East Wellington;49.172406;-124.020993;NAN;Regional District of Nanaimo Transit System;Nanaimo
110260;Jingle Pot at Cavendish (NB);NB_Jingle Pot_NS_Cavendish;49.200499;-124.035131;NAN;Regional District of Nanaimo Transit System;Nanaimo
110261;Jingle Pot at Monterey (SB);SB_Jingle Pot_NS_Monterey;49.199837;-124.034874;NAN;Regional District of Nanaimo Transit System;Nanaimo
110265;Jingle Pot at East Wellington (EB);EB_Jingle Pot_FS_East Wellington;49.172286;-124.020753;NAN;Regional District of Nanaimo Transit System;Nanaimo
110266;Jingle Pot at Holland (EB);EB_Jingle Pot_NS_Holland;49.172056;-123.999887;NAN;Regional District of Nanaimo Transit System;Nanaimo
110267;Wright at Reid (EB);EB_Wright_NS_Reid;49.339164;-124.355034;NAN;Regional District of Nanaimo Transit System;Nanaimo G
110271;Temple at Chinook (SB);SB_Temple_NS_Chinook;49.333739;-124.335217;NAN;Regional District of Nanaimo Transit System;Parksville
