stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
104628;Cammeray at Strawberry (NB);NB_Cammeray_FS_Strawberry;50.799786;-120.31467;KAM;Kamloops Transit System;Kamloops
104629;Cammeray at Chilco (NB);NB_Cammeray_FS_Chilco;50.803154;-120.312396;KAM;Kamloops Transit System;Kamloops
104630;Reighmount at Pinantan (WB);WB_Reighmount_NS_Pinantan;50.804129;-120.312676;KAM;Kamloops Transit System;Kamloops
104631;Reighmount at Kathleen (WB);WB_Reighmount_NS_Kathleen;50.804958;-120.317971;KAM;Kamloops Transit System;Kamloops
104632;Aspen Park at Spurraway (SB);SB_Aspen Park_FS_Spurraway;50.803978;-120.321101;KAM;Kamloops Transit System;Kamloops
104633;Aspen Park at Helmcken (SB);SB_Aspen Park_NS_Helmcken;50.801138;-120.323068;KAM;Kamloops Transit System;Kamloops
104634;Spurraway at Helmcken (SB);SB_Spurraway_FS_Helmcken;50.80058;-120.32043;KAM;Kamloops Transit System;Kamloops
104635;Spurraway at Puett Ranch (SB);SB_Spurraway_NS_Puett Ranch;50.797579;-120.320376;KAM;Kamloops Transit System;Kamloops
104636;Furiak at Puett Ranch (SB);SB_Furiak_FS_Puett Ranch;50.796959;-120.322936;KAM;Kamloops Transit System;Kamloops
104637;Mattoch-McKeague at Furiak (EB);EB_Mattoch-McKeague_FS_Furiak;50.793184;-120.322111;KAM;Kamloops Transit System;Kamloops
104638;Old Highway 5 at Mattoch-McKeague (SB);SB_Old Highway 5_FS_Mattoch-McKeague;50.791106;-120.315875;KAM;Kamloops Transit System;Kamloops
104639;block Old Highway 5 at Devick (SB);SB_block_Old Highway 5_NS_Devick;50.78822;-120.317615;KAM;Kamloops Transit System;Kamloops
104640;Halston Connector at Josep (NB);NB_Halston Connector_FS_Josep;50.711763;-120.335045;KAM;Kamloops Transit System;Kamloops 1
104641;Southview at Hillcrest (WB);WB_Southview_FS_Hillcrest;50.712165;-120.370782;KAM;Kamloops Transit System;Kamloops
104642;Linthorpe at Southview (EB);EB_Linthorpe_FS_Southview;50.714053;-120.372098;KAM;Kamloops Transit System;Kamloops
104643;Linthorpe at Hillcrest (EB);EB_Linthorpe_NS_Hillcrest;50.714073;-120.370536;KAM;Kamloops Transit System;Kamloops
104644;Batchelor at Norview (NB);NB_Batchelor_NS_Norview;50.717346;-120.369432;KAM;Kamloops Transit System;Kamloops
104645;Grasslands at Quail (NB);NB_Grasslands_NS_Quail;50.721538;-120.370431;KAM;Kamloops Transit System;Kamloops
104646;Quail at Quails Roost (EB);EB_Quail_FS_Quails Roost;50.719962;-120.36546;KAM;Kamloops Transit System;Kamloops
104647;Quail Dr at Quail Crt (NB);NB_Quail Dr_NS_Quail Crt;50.721348;-120.364295;KAM;Kamloops Transit System;Kamloops
104648;Raven at Grasslands (WB);WB_Raven_NS_Grasslands;50.722605;-120.367831;KAM;Kamloops Transit System;Kamloops
104649;Batchelor at Grasslands (SB);SB_Batchelor_FS_Grasslands;50.720344;-120.369904;KAM;Kamloops Transit System;Kamloops
104650;Norview Rd at Norview Pl (EB);EB_Norview Rd_FS_Norview Pl;50.718492;-120.363824;KAM;Kamloops Transit System;Kamloops
104651;North River at Norview (SB);SB_North River_FS_Norview;50.718487;-120.361705;KAM;Kamloops Transit System;Kamloops
104652;North River at Leighton (SB);SB_North River_FS_Leighton;50.716211;-120.366599;KAM;Kamloops Transit System;Kamloops
104653;Batchelor at North River (SB);SB_Batchelor_FS_North River;50.714218;-120.366443;KAM;Kamloops Transit System;Kamloops
104654;Lansdowne Exchange Bay E;Lansdowne_Exchange_Bay_E;50.676764;-120.325783;KAM;Kamloops Transit System;Kamloops
104655;Seymour at 6th Ave (EB);EB_Seymour_FS_6th Ave;50.67482;-120.326669;KAM;Kamloops Transit System;Kamloops
104656;Seymour at 8th Ave (EB);EB_Seymour_NS_8th Ave;50.674776;-120.321773;KAM;Kamloops Transit System;Kamloops
104657;Victoria at 10th Ave (EB);EB_Victoria_FS_10th Ave;50.673931;-120.315647;KAM;Kamloops Transit System;Kamloops
104658;Battle at 12th Ave (EB);EB_Battle_FS_12th Ave;50.673071;-120.311349;KAM;Kamloops Transit System;Kamloops
104659;Battle at Columbia (EB);EB_Battle_NS_Columbia;50.673083;-120.306918;KAM;Kamloops Transit System;Kamloops
104660;Valleyview at Rose Hill (EB);EB_Valleyview_NS_Rose Hill;50.672295;-120.294609;KAM;Kamloops Transit System;Kamloops
104661;Valleyview at Comazzetto (NB);NB_Valleyview_NS_Comazzetto;50.674465;-120.290614;KAM;Kamloops Transit System;Kamloops
104662;Valleyview at Knollwood (EB);EB_Valleyview_FS_Knollwood;50.675169;-120.288112;KAM;Kamloops Transit System;Kamloops
104663;Valleyview at Orchard (EB);EB_Valleyview_FS_Orchard;50.67574;-120.283413;KAM;Kamloops Transit System;Kamloops
104664;Valleyview at Cardinal (EB);EB_Valleyview_FS_Cardinal;50.675892;-120.276755;KAM;Kamloops Transit System;Kamloops
104665;Oriole at Glenwood (NB);NB_Oriole_FS_Glenwood;50.677399;-120.272252;KAM;Kamloops Transit System;Kamloops
104666;Falcon at Oriole (EB);EB_Falcon_FS_Oriole;50.678823;-120.271531;KAM;Kamloops Transit System;Kamloops
104667;E Trans-Canada Hwy Frtg at Industrial (EB);EB_E Trans-Canada Hwy Frtg_FS_Industrial;50.680079;-120.267011;KAM;Kamloops Transit System;Kamloops
104668;Flamingo at Highland (EB);EB_Flamingo_NS_Highland;50.678731;-120.261829;KAM;Kamloops Transit System;Kamloops
104669;Highland at Crescent (SB);SB_Highland_FS_Crescent;50.677372;-120.261988;KAM;Kamloops Transit System;Kamloops
104670;Highland at Valleyview (SB);Southbound Highland_FS_Valleyview;50.676246;-120.262425;KAM;Kamloops Transit System;Kamloops
104671;QuAppelle at Stikine (WB);WB_QuAppelle_NS_Stikine;50.66118;-120.262811;KAM;Kamloops Transit System;Kamloops
104672;Coldwater at Skeena (EB);EB_Coldwater_NS_Skeena;50.660119;-120.265164;KAM;Kamloops Transit System;Kamloops
104673;Skeena 2100 block (EB);EB_2100_block_Skeena;50.660157;-120.261569;KAM;Kamloops Transit System;Kamloops
104674;Skeena 2210 block (EB);EB_2210_block_Skeena;50.659919;-120.257921;KAM;Kamloops Transit System;Kamloops
104675;Finlay at Omineca (NB);NB_Finlay_FS_Omineca;50.661011;-120.254424;KAM;Kamloops Transit System;Kamloops
104676;QuAppelle at Finlay (EB);EB_QuAppelle_NS_Finlay;50.661949;-120.253898;KAM;Kamloops Transit System;Kamloops
104677;QuAppelle at Abitibi (EB);EB_QuAppelle_FS_Abitibi;50.661669;-120.249083;KAM;Kamloops Transit System;Kamloops
104678;QuAppelle at Nechako (SB);SB_QuAppelle_FS_Nechako;50.660581;-120.245932;KAM;Kamloops Transit System;Kamloops
104679;QuAppelle at Adams (EB);EB_QuAppelle_NS_Adams;50.659373;-120.243221;KAM;Kamloops Transit System;Kamloops
104680;QuAppelle at Capilano (EB);EB_QuAppelle_FS_Capilano;50.658396;-120.237312;KAM;Kamloops Transit System;Kamloops
104681;Churchill at Squamish (NB);NB_Churchill_FS_Squamish;50.658864;-120.234632;KAM;Kamloops Transit System;Kamloops
104682;Capilano at QuAppelle (WB);WB_Capilano_NS_QuAppelle;50.659516;-120.237893;KAM;Kamloops Transit System;Kamloops
104683;QuAppelle at Capilano (WB);WB_QuAppelle_FS_Capilano;50.658799;-120.23905;KAM;Kamloops Transit System;Kamloops
104684;QuAppelle at Adams (WB);WB_QuAppelle_FS_Adams;50.659485;-120.243146;KAM;Kamloops Transit System;Kamloops
104685;QuAppelle at Nechako (NB);NB_QuAppelle_NS_Nechako;50.660643;-120.245697;KAM;Kamloops Transit System;Kamloops
104686;QuAppelle at Bella Coola (WB);WB_QuAppelle_FS_Bella Coola;50.661798;-120.24845;KAM;Kamloops Transit System;Kamloops
104687;QuAppelle at Finlay (WB);WB_QuAppelle_NS_Finlay;50.662178;-120.254295;KAM;Kamloops Transit System;Kamloops
104688;QuAppelle 2200 block (SB);SB_2200_block_QuAppelle;50.661436;-120.257636;KAM;Kamloops Transit System;Kamloops
104689;QuAppelle at Highland (WB);WB_QuAppelle_NS_Highland;50.661095;-120.260901;KAM;Kamloops Transit System;Kamloops
104691;Highland at Valleyview (NB);NB_Highland_FS_Valleyview;50.67661;-120.26195;KAM;Kamloops Transit System;Kamloops
104692;Highland at Crescent (NB);NB_Highland_FS_Crescent;50.677908;-120.261375;KAM;Kamloops Transit System;Kamloops
104693;Flamingo at Highland (WB);WB_Flamingo_FS_Highland;50.678903;-120.262105;KAM;Kamloops Transit System;Kamloops
104694;E Trans-Canada Hwy Frtg at Industrial (WB);WB_E Trans-Canada Hwy Frtg_NS_Industrial;50.680153;-120.266677;KAM;Kamloops Transit System;Kamloops
104695;Falcon at Oriole (WB);WB_Falcon_NS_Oriole;50.678931;-120.271394;KAM;Kamloops Transit System;Kamloops
104696;Oriole at Glenwood (SB);SB_Oriole_FS_Glenwood;50.676792;-120.272407;KAM;Kamloops Transit System;Kamloops
104697;Valleyview 1970 block (WB);WB_1970_block_Valleyview;50.675854;-120.274752;KAM;Kamloops Transit System;Kamloops
104698;Valleyview at Knollwood (WB);WB_Valleyview_NS_Knollwood;50.675725;-120.284401;KAM;Kamloops Transit System;Kamloops
104699;Valleyview at Knollwood (WB);WB_Valleyview_FS_Knollwood;50.675187;-120.288888;KAM;Kamloops Transit System;Kamloops
104700;Valleyview at Strom (SB);SB_Valleyview_FS_Strom;50.674254;-120.29106;KAM;Kamloops Transit System;Kamloops
104701;Valleyview at E Trans-Canada Hwy Frtg (WB);WB_Valleyview_FS_E Trans-Canada Hwy Frtg;50.672505;-120.29613;KAM;Kamloops Transit System;Kamloops
104200;Lansdowne Exchange Bay I;Lansdowne_Exchange_Bay_I;50.676765;-120.326895;KAM;Kamloops Transit System;Kamloops
104201;Lansdowne at 4th Ave (WB);WB_Lansdowne_FS_4th Ave;50.676712;-120.332905;KAM;Kamloops Transit System;Kamloops
104202;Lansdowne at 2nd Ave (WB);WB_Lansdowne_FS_2nd Ave;50.67673;-120.337401;KAM;Kamloops Transit System;Kamloops
104204;Tranquille at Don (WB);WB_Tranquille_NS_Don;50.684881;-120.35135;KAM;Kamloops Transit System;Kamloops
104702;Columbia at Nicola (WB);WB_Columbia_NS_Nicola;50.672186;-120.307741;KAM;Kamloops Transit System;Kamloops
104703;Columbia at 10th Ave (WB);WB_Columbia_FS_10th Ave;50.67143;-120.316978;KAM;Kamloops Transit System;Kamloops
104704;Columbia at 8th Ave (WB);WB_Columbia_FS_8th Ave;50.671512;-120.321779;KAM;Kamloops Transit System;Kamloops
104706;6th Ave at St Paul (NB);NB_6th Ave_FS_St Paul;50.674272;-120.327071;KAM;Kamloops Transit System;Kamloops
104707;Valleyview at Highland (EB);EB_Valleyview_FS_Highland;50.676149;-120.26135;KAM;Kamloops Transit System;Kamloops
104708;Valleyview at Miller (EB);EB_Valleyview_FS_Miller;50.675205;-120.256512;KAM;Kamloops Transit System;Kamloops
104709;Valleyview at River (EB);EB_Valleyview_FS_River;50.674187;-120.251842;KAM;Kamloops Transit System;Kamloops
104710;Valleyview at MacAdam (EB);EB_Valleyview_FS_MacAdam;50.67324;-120.245433;KAM;Kamloops Transit System;Kamloops
104711;Valleyview at McKay (EB);EB_Valleyview_FS_McKay;50.672881;-120.241675;KAM;Kamloops Transit System;Kamloops
104714;Todd at Crawford (SB);SB_Todd_NS_Crawford;50.667571;-120.187776;KAM;Kamloops Transit System;Kamloops
104715;Todd at Klahanie (SB);SB_Todd_NS_Klahanie;50.657119;-120.184361;KAM;Kamloops Transit System;Kamloops
104716;Todd at Lamar (SB);SB_Todd_NS_Lamar;50.654688;-120.18178;KAM;Kamloops Transit System;Kamloops
104717;Todd at Sunrise (SB);SB_Todd_NS_Sunrise;50.651174;-120.179662;KAM;Kamloops Transit System;Kamloops
104718;Lamar at Todd (EB);EB_Lamar_FS_Todd;50.649586;-120.176567;KAM;Kamloops Transit System;Kamloops
104719;Lamar at Norland (NB);NB_Lamar_FS_Norland;50.64954;-120.174127;KAM;Kamloops Transit System;Kamloops
104720;Clearview at Wildwood (NB);NB_Clearview_NS_Wildwood;50.652459;-120.174688;KAM;Kamloops Transit System;Kamloops
104721;Clearview at Belair (EB);EB_Clearview_FS_Belair;50.653014;-120.169634;KAM;Kamloops Transit System;Kamloops
104722;Clearview at Foxwood (EB);EB_Clearview_NS_Foxwood;50.651825;-120.164775;KAM;Kamloops Transit System;Kamloops
104723;Clearview at Todd (EB);EB_Clearview_NS_Todd;50.650745;-120.162724;KAM;Kamloops Transit System;Kamloops
104724;Todd at Belair (WB);WB_Todd_FS_Belair;50.649177;-120.164027;KAM;Kamloops Transit System;Kamloops
104725;Todd at Pringle (SB);SB_Todd_FS_Pringle;50.648282;-120.166425;KAM;Kamloops Transit System;Kamloops
104726;Todd at Pratt (WB);WB_Todd_FS_Pratt;50.645616;-120.169845;KAM;Kamloops Transit System;Kamloops
104727;Todd 1450 block (WB);WB_1450_block_Todd;50.647884;-120.17463;KAM;Kamloops Transit System;Kamloops
104728;Todd at Lamar (NB);NB_Todd_NS_Lamar;50.649459;-120.176808;KAM;Kamloops Transit System;Kamloops
104729;Todd at Sunrise (WB);WB_Todd_NS_Sunrise;50.650795;-120.179094;KAM;Kamloops Transit System;Kamloops
104730;Todd at Lamar (NB);NB_Todd_FS_Lamar;50.655113;-120.181937;KAM;Kamloops Transit System;Kamloops
104731;Todd at Klahanie (NB);NB_Todd_FS_Klahanie;50.657362;-120.184386;KAM;Kamloops Transit System;Kamloops
104732;Todd at Dallas (NB);NB_Todd_NS_Dallas;50.66774;-120.187394;KAM;Kamloops Transit System;Kamloops
104733;Dallas at Bogetti (EB);EB_Dallas_NS_Bogetti;50.668007;-120.181825;KAM;Kamloops Transit System;Kamloops
104734;Dallas at Ridge (EB);EB_Dallas_NS_Ridge;50.667976;-120.177257;KAM;Kamloops Transit System;Kamloops
104735;Dallas at Todd Hill (EB);EB_Dallas_FS_Todd Hill;50.665666;-120.169765;KAM;Kamloops Transit System;Kamloops
104736;Dallas at Todd Hill (EB);EB_Dallas_FS_Todd Hill;50.664706;-120.163965;KAM;Kamloops Transit System;Kamloops
104737;Dallas at Mountview (EB);EB_Dallas_NS_Mountview;50.66479;-120.157392;KAM;Kamloops Transit System;Kamloops
104738;Dallas at Yarrow (EB);EB_Dallas_NS_Yarrow;50.665662;-120.150927;KAM;Kamloops Transit System;Kamloops
104739;Dallas 6750 block (EB);EB_6750_block_Dallas;50.66566;-120.145341;KAM;Kamloops Transit System;Kamloops
104740;Dallas 7120 block (EB);EB_7120_block_Dallas;50.663741;-120.136514;KAM;Kamloops Transit System;Kamloops
104741;Dallas 7320 block (EB);EB_7320_block_Dallas;50.662852;-120.132047;KAM;Kamloops Transit System;Kamloops
104742;Dallas at OConnor (EB);EB_Dallas_FS_OConnor;50.662204;-120.12915;KAM;Kamloops Transit System;Kamloops
104743;Dallas 7590 block (EB);EB_7590_block_Dallas;50.658787;-120.123028;KAM;Kamloops Transit System;Kamloops
104744;Dallas at Peerless (EB);EB_Dallas_FS_Peerless;50.65622;-120.105434;KAM;Kamloops Transit System;Kamloops
104745;Dallas at Andover (EB);EB_Dallas_FS_Andover;50.655545;-120.097288;KAM;Kamloops Transit System;Kamloops
104746;Dallas at Cougar (EB);EB_Dallas_FS_Cougar;50.655476;-120.08394;KAM;Kamloops Transit System;Kamloops
104747;Dallas 9150 block (EB);EB_9150_block_Dallas;50.654606;-120.078743;KAM;Kamloops Transit System;Kamloops
104748;Kokanee at E Trans-Canada (SB);SB_Kokanee_NS_E Trans-Canada;50.65955;-120.119051;KAM;Kamloops Transit System;Kamloops
104749;Dallas 7540 block (WB);WB_7540_block_Dallas;50.659045;-120.123517;KAM;Kamloops Transit System;Kamloops
104750;Dallas at OConnor (WB);WB_Dallas_NS_OConnor;50.661851;-120.128272;KAM;Kamloops Transit System;Kamloops
104751;Dallas 7300 block (WB);WB_7300_block_Dallas;50.663099;-120.132706;KAM;Kamloops Transit System;Kamloops
104752;Dallas 7110 block (WB);WB_7110_block_Dallas;50.663856;-120.13652;KAM;Kamloops Transit System;Kamloops
104753;Dallas 6750 block (WB);WB_6750_block_Dallas;50.665754;-120.145214;KAM;Kamloops Transit System;Kamloops
104754;Dallas at Yarrow (WB);WB_Dallas_FS_Yarrow;50.665752;-120.150943;KAM;Kamloops Transit System;Kamloops
104755;Dallas at Mountview (WB);WB_Dallas_FS_Mountview;50.664866;-120.157619;KAM;Kamloops Transit System;Kamloops
104756;Dallas at Todd Hill (WB);WB_Dallas_FS_Todd Hill;50.664949;-120.164781;KAM;Kamloops Transit System;Kamloops
104757;Dallas at Harper (WB);WB_Dallas_FS_Harper;50.666926;-120.173596;KAM;Kamloops Transit System;Kamloops
104758;Dallas at Ridge (WB);WB_Dallas_NS_Ridge;50.668033;-120.176422;KAM;Kamloops Transit System;Kamloops
104759;Dallas at Bogetti (WB);WB_Dallas_FS_Bogetti;50.668086;-120.18211;KAM;Kamloops Transit System;Kamloops
104760;E Trans-Canada at Nina (WB);WB_E Trans-Canada_FS_Nina;50.669674;-120.182971;KAM;Kamloops Transit System;Kamloops
104466;Lodgepole at Englemann (SB);SB_Lodgepole_FS_Englemann;50.652162;-120.403459;KAM;Kamloops Transit System;Kamloops
104467;Lodgepole at Arnica (EB);EB_Lodgepole_FS_Arnica;50.650703;-120.399758;KAM;Kamloops Transit System;Kamloops
104468;Lodgepole at Snowberry (NB);NB_Lodgepole_FS_Snowberry;50.651367;-120.397367;KAM;Kamloops Transit System;Kamloops
104469;Copperhead at Lodgepole (NB);NB_Copperhead_FS_Lodgepole;50.652463;-120.39695;KAM;Kamloops Transit System;Kamloops
104470;Copperhead at Hugh Allan (NB);NB_Copperhead_NS_Hugh Allan;50.653705;-120.398343;KAM;Kamloops Transit System;Kamloops
104471;Copperhead at Kryczka (NB);NB_Copperhead_FS_Kryczka;50.657145;-120.401186;KAM;Kamloops Transit System;Kamloops
104472;Copperhead at Versatile (NB);NB_Copperhead_NS_Versatile;50.659175;-120.39986;KAM;Kamloops Transit System;Kamloops
104473;Hillside at Copperhead (EB);EB_Hillside_FS_Copperhead;50.66175;-120.397747;KAM;Kamloops Transit System;Kamloops
104474;Hillside 1860 block (EB);EB_1860_block_Hillside;50.660804;-120.393299;KAM;Kamloops Transit System;Kamloops
104475;Hillside at Davies (EB);EB_Hillside_FS_Davies;50.658366;-120.388264;KAM;Kamloops Transit System;Kamloops
104476;Hillside at Mount Dufferin Cres (EB);EB_Hillside_FS_Mount Dufferin Cres;50.657378;-120.386247;KAM;Kamloops Transit System;Kamloops
104477;Hillside at Mount Dufferin Ave (EB);EB_Hillside_FS_Mount Dufferin Ave;50.656082;-120.382645;KAM;Kamloops Transit System;Kamloops
104478;Hillside at Cannel (EB);EB_Hillside_FS_Cannel;50.655373;-120.379949;KAM;Kamloops Transit System;Kamloops
104479;Lansdowne Exchange Bay D;Lansdowne_Exchange_Bay_D;50.676878;-120.325634;KAM;Kamloops Transit System;Kamloops
104481;Columbia at 5th Ave (EB);EB_Columbia_FS_5th Ave;50.671245;-120.329321;KAM;Kamloops Transit System;Kamloops
104483;7th Ave at Columbia (SB);SB_7th Ave_FS_Columbia;50.67105;-120.324382;KAM;Kamloops Transit System;Kamloops
104484;7th Ave at Pine (SB);SB_7th Ave_FS_Pine;50.669422;-120.3244;KAM;Kamloops Transit System;Kamloops
104485;7th Ave at Munro (SB);SB_7th Ave_NS_Munro;50.666941;-120.324378;KAM;Kamloops Transit System;Kamloops
104486;6th Ave at Cowan (SB);SB_6th Ave_FS_Cowan;50.665729;-120.327416;KAM;Kamloops Transit System;Kamloops
104487;Fraser at Tunstall (EB);EB_Fraser_FS_Tunstall;50.664212;-120.326567;KAM;Kamloops Transit System;Kamloops
104488;Fraser St at Fraser Cres (EB);EB_Fraser St_NS_Fraser Cres;50.664359;-120.323592;KAM;Kamloops Transit System;Kamloops
104489;Fraser at 9th Ave (EB);EB_Fraser_FS_9th Ave;50.664236;-120.31869;KAM;Kamloops Transit System;Kamloops
104490;Fraser at McMurdo (NB);NB_Fraser_FS_McMurdo;50.66562;-120.316296;KAM;Kamloops Transit System;Kamloops
104491;11th Ave at Douglas (NB);NB_11th Ave_FS_Douglas;50.667941;-120.314156;KAM;Kamloops Transit System;Kamloops
104492;Pine at 11th Ave (EB);EB_Pine_FS_11th Ave;50.669543;-120.313685;KAM;Kamloops Transit System;Kamloops
104493;13th Ave at Pine (NB);NB_13th Ave_FS_Pine;50.669899;-120.309295;KAM;Kamloops Transit System;Kamloops
104494;Columbia at 13th Ave (WB);WB_Columbia_FS_13th Ave;50.671384;-120.310365;KAM;Kamloops Transit System;Kamloops
104495;Columbia at 12th Ave (WB);WB_Columbia_FS_12th Ave;50.67139;-120.312225;KAM;Kamloops Transit System;Kamloops
104496;11th Ave at Columbia (NB);NB_11th Ave_FS_Columbia;50.671759;-120.314131;KAM;Kamloops Transit System;Kamloops
104497;Battle at 11th Ave (WB);WB_Battle_FS_11th Ave;50.673166;-120.314661;KAM;Kamloops Transit System;Kamloops
104498;Battle at 9th Ave (WB);WB_Battle_FS_9th Ave;50.673188;-120.319361;KAM;Kamloops Transit System;Kamloops
104279;Parkcrest at Singh (WB);WB_Parkcrest_FS_Singh;50.709475;-120.384547;KAM;Kamloops Transit System;Kamloops
